,Mean(T) ,AAV(T),AAD(T),Variance(T),Energy(T),MCR(T),RMS(T),Skewness(T),Kurtosis(T),ZCR(T),Mean(G) ,AAV(G),AAD(G),Variance(G),Energy(G),MCR(G),RMS(G),Skewness(G),Kurtosis(G),ZCR(G),Mean(B) ,AAV(B),AAD(B),Variance(B),Energy(B),MCR(B),RMS(B),Skewness(B),Kurtosis(B),ZCR(B),class
Window 1,32.666666666666664,49.0,0.5,0.22222222222222224,1067.3333333333333,1.0,32.6701,-0.7071067811865326,1.4999999999999858,0,176.66666666666666,265.0,83.0,6123.555555555556,37334.666666666664,2.0,193.2218,-0.7071067811865474,1.4999999999999993,0,202.66666666666666,304.0,206.5,11109.555555555555,52183.333333333336,1.0,228.4367,-0.2689661376163924,1.5000000000000002,0,Positive
Window 2,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,235.66666666666666,353.5,128.0,14563.555555555557,70102.33333333333,2.0,264.7685,-0.7071067811865474,1.4999999999999996,0,Positive
Window 3,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,321.0,481.5,0.0,0.0,103041.0,0.0,321.0,0.0,0.0,0,Positive
Window 4,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,321.0,481.5,0.0,0.0,103041.0,0.0,321.0,0.0,0.0,0,Positive
Window 1,32.666666666666664,49.0,0.5,0.22222222222222224,1067.3333333333333,1.0,32.6701,-0.7071067811865326,1.4999999999999858,0,176.66666666666666,265.0,83.0,6123.555555555556,37334.666666666664,2.0,193.2218,-0.7071067811865474,1.4999999999999993,0,202.66666666666666,304.0,206.5,11109.555555555555,52183.333333333336,1.0,228.4367,-0.2689661376163924,1.5000000000000002,0,Negative
Window 2,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,235.66666666666666,353.5,128.0,14563.555555555557,70102.33333333333,2.0,264.7685,-0.7071067811865474,1.4999999999999996,0,Negative
Window 3,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,321.0,481.5,0.0,0.0,103041.0,0.0,321.0,0.0,0.0,0,Negative
Window 4,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,321.0,481.5,0.0,0.0,103041.0,0.0,321.0,0.0,0.0,0,Negative
Window 1,32.666666666666664,49.0,0.5,0.22222222222222224,1067.3333333333333,1.0,32.6701,-0.7071067811865326,1.4999999999999858,0,176.66666666666666,265.0,83.0,6123.555555555556,37334.666666666664,2.0,193.2218,-0.7071067811865474,1.4999999999999993,0,202.66666666666666,304.0,206.5,11109.555555555555,52183.333333333336,1.0,228.4367,-0.2689661376163924,1.5000000000000002,0,Neutral
Window 2,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,235.66666666666666,353.5,128.0,14563.555555555557,70102.33333333333,2.0,264.7685,-0.7071067811865474,1.4999999999999996,0,Neutral
Window 3,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,321.0,481.5,0.0,0.0,103041.0,0.0,321.0,0.0,0.0,0,Neutral
Window 4,33.0,49.5,0.0,0.0,1089.0,0.0,33.0,0.0,0.0,0,232.0,348.0,0.0,0.0,53824.0,0.0,232.0,0.0,0.0,0,321.0,481.5,0.0,0.0,103041.0,0.0,321.0,0.0,0.0,0,Neutral
